gauge,width,steel_type,location,amount,effective_start_date,effective_end_date
20,36,galvanneal,NLMK,5.50,2025-06-01,1900-01-01
20,36,galvanneal,nucor_hickman,5.00,2025-06-01,1900-01-01
20,48,galvanneal,NLMK,5.50,2025-06-01,1900-01-01
20,48,galvanneal,nucor_hickman,5.00,2025-06-01,1900-01-01
20,60,galvanneal,NLMK,5.50,2025-06-01,1900-01-01
20,60,galvanneal,nucor_hickman,5.50,2025-06-01,1900-01-01
22,36,galvanneal,NLMK,5.75,2025-06-01,1900-01-01
22,36,galvanneal,nucor_hickman,5.75,2025-06-01,1900-01-01
22,48,galvanneal,NLMK,5.75,2025-06-01,1900-01-01
22,48,galvanneal,nucor_hickman,5.75,2025-06-01,1900-01-01
22,60,galvanneal,NLMK,5.75,2025-06-01,1900-01-01
22,60,galvanneal,nucor_hickman,5.75,2025-06-01,1900-01-01
24,36,galvanneal,NLMK,7.25,2025-06-01,1900-01-01
24,36,galvanneal,nucor_hickman,7.25,2025-06-01,1900-01-01
24,48,galvanneal,NLMK,7.25,2025-06-01,1900-01-01
24,48,galvanneal,nucor_hickman,7.25,2025-06-01,1900-01-01
24,60,galvanneal,NLMK,7.25,2025-06-01,1900-01-01
24,60,galvanneal,nucor_hickman,7.15,2025-06-01,1900-01-01
26,36,galvanneal,NLMK,9.25,2025-06-01,1900-01-01
26,36,galvanneal,nucor_hickman,9.00,2025-06-01,1900-01-01
26,48,galvanneal,NLMK,9.25,2025-06-01,1900-01-01
26,48,galvanneal,nucor_hickman,9.00,2025-06-01,1900-01-01
26,60,galvanneal,NLMK,9.25,2025-06-01,1900-01-01
26,60,galvanneal,nucor_hickman,9.00,2025-06-01,1900-01-01
