gauge,width,steel_type,location,amount,effective_start_date,effective_end_date
20,60,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
20,60,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
22,36,galvanized,NLMK,1,2025-06-01,1900-01-01
22,36,galvanized,nucor_hickman,3.00,2025-06-01,1900-01-01
22,48,galvanized,NLMK,0,2025-06-01,1900-01-01
22,48,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
22,48,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
22,60,galvanized,NLMK,0,2025-06-01,1900-01-01
22,60,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
24,36,galvanized,NLMK,2.00,2025-06-01,1900-01-01
24,36,galvanized,nucor_hickman,4.00,2025-06-01,1900-01-01
24,36,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
24,48,galvanized,NLMK,1.50,2025-06-01,1900-01-01
24,48,galvanized,nucor_hickman,1.00,2025-06-01,1900-01-01
24,60,galvanized,NLMK,1.50,2025-06-01,1900-01-01
24,60,galvanized,nucor_hickman,1.00,2025-06-01,1900-01-01
24,60,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
26,36,galvanized,NLMK,6.00,2025-06-01,1900-01-01
26,36,galvanized,nucor_hickman,6.00,2025-06-01,1900-01-01
26,48,galvanized,NLMK,5.50,2025-06-01,1900-01-01
26,48,galvanized,nucor_hickman,3.00,2025-06-01,1900-01-01
26,48,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
26,60,galvanized,NLMK,5.50,2025-06-01,1900-01-01
26,60,galvanized,nucor_hickman,3.00,2025-06-01,1900-01-01
8,48,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
8,60,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
10,36,galvanneal,NLMK,1.00,2025-06-01,1900-01-01
10,48,galvanneal,NLMK,0,2025-06-01,1900-01-01
10,48,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
10,60,galvanneal,NLMK,0,2025-06-01,1900-01-01
10,60,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
11,36,galvanneal,NLMK,1.00,2025-06-01,1900-01-01
11,48,galvanneal,NLMK,0,2025-06-01,1900-01-01
11,60,galvanneal,NLMK,0,2025-06-01,1900-01-01
11,48,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
11,60,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
12,36,galvanneal,NLMK,1.00,2025-06-01,1900-01-01
12,48,galvanneal,NLMK,0,2025-06-01,1900-01-01
12,60,galvanneal,NLMK,0,2025-06-01,1900-01-01
12,36,galvanneal,nucor_hickman,3.00,2025-06-01,1900-01-01
12,48,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
12,60,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
12,48,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
12,60,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
13,48,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
13,60,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
13,36,galvanneal,nucor_hickman,3.00,2025-06-01,1900-01-01
13,48,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
13,60,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
13,36,galvanneal,NLMK,1.00,2025-06-01,1900-01-01
13,48,galvanneal,NLMK,0,2025-06-01,1900-01-01
13,60,galvanneal,NLMK,0,2025-06-01,1900-01-01
14,36,galvanneal,NLMK,1.00,2025-06-01,1900-01-01
14,48,galvanneal,NLMK,0,2025-06-01,1900-01-01
14,60,galvanneal,NLMK,0,2025-06-01,1900-01-01
14,36,galvanneal,nucor_hickman,3.00,2025-06-01,1900-01-01
14,48,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
14,60,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
14,48,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
14,60,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
16,48,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
